Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CISS_WTmouse05_affine),Image stdev (CISS_WTmouse05_affine),Image mean (DCE_WTmouse05_affine [0]),Image stdev (DCE_WTmouse05_affine [0]),Image mean (DCE_WTmouse05_affine [1]),Image stdev (DCE_WTmouse05_affine [1]),Image mean (DCE_WTmouse05_affine [2]),Image stdev (DCE_WTmouse05_affine [2]),Image mean (DCE_WTmouse05_affine [3]),Image stdev (DCE_WTmouse05_affine [3]),Image mean (DCE_WTmouse05_affine [4]),Image stdev (DCE_WTmouse05_affine [4]),Image mean (DCE_WTmouse05_affine [5]),Image stdev (DCE_WTmouse05_affine [5]),Image mean (DCE_WTmouse05_affine [6]),Image stdev (DCE_WTmouse05_affine [6]),Image mean (DCE_WTmouse05_affine [7]),Image stdev (DCE_WTmouse05_affine [7]),Image mean (DCE_WTmouse05_affine [8]),Image stdev (DCE_WTmouse05_affine [8]),Image mean (DCE_WTmouse05_affine [9]),Image stdev (DCE_WTmouse05_affine [9]),Image mean (DCE_WTmouse05_affine [10]),Image stdev (DCE_WTmouse05_affine [10]),Image mean (DCE_WTmouse05_affine [11]),Image stdev (DCE_WTmouse05_affine [11]),Image mean (DCE_WTmouse05_affine [12]),Image stdev (DCE_WTmouse05_affine [12]),Image mean (DCE_WTmouse05_affine [13]),Image stdev (DCE_WTmouse05_affine [13]),Image mean (DCE_WTmouse05_affine [14]),Image stdev (DCE_WTmouse05_affine [14]),Image mean (DCE_WTmouse05_affine [15]),Image stdev (DCE_WTmouse05_affine [15]),Image mean (DCE_WTmouse05_affine [16]),Image stdev (DCE_WTmouse05_affine [16]),Image mean (DCE_WTmouse05_affine [17]),Image stdev (DCE_WTmouse05_affine [17]),Image mean (DCE_WTmouse05_affine [18]),Image stdev (DCE_WTmouse05_affine [18]),Image mean (DCE_WTmouse05_affine [19]),Image stdev (DCE_WTmouse05_affine [19]),Image mean (DCE_WTmouse05_affine [20]),Image stdev (DCE_WTmouse05_affine [20]),Image mean (DCE_WTmouse05_affine [21]),Image stdev (DCE_WTmouse05_affine [21]),Image mean (DCE_WTmouse05_affine [22]),Image stdev (DCE_WTmouse05_affine [22])
0,Clear Label,5897864,5897.86,0.0941194,0.178947,12.5295,7.93972,12.5721,7.98255,12.044,7.95984,20.8409,15.5993,20.7277,16.0132,20.7033,16.6451,21.0011,17.4307,21.2465,18.1225,21.2201,18.5558,21.3123,18.9043,21.7301,19.3027,21.7135,19.3522,21.4278,19.1647,20.9815,18.8962,20.9276,18.7924,20.5155,18.6067,19.7414,18.0972,19.5044,17.8219,18.8883,17.3693,19.2364,17.4514,19.7385,17.6649,20.7622,18.0926,21.3111,18.3548
1,parenchyma 1,48,0.048,0.0489734,0.0166271,8.89082,3.62952,9.30583,2.47731,8.11416,3.69297,12.3427,7.44882,37.6791,22.8761,121.242,38.4077,161.312,32.673,170.541,29.9468,170.675,30.1136,172.439,31.354,155.427,25.3593,155.144,25.0783,136.426,20.4276,130.54,19.9298,125.791,24.0163,121.454,17.606,113.217,19.3517,95.3851,18.1172,93.0191,21.4045,92.6182,18.6807,91.2076,21.2895,83.6505,16.2746,82.5953,19.5968
2,parenchyma 2,48,0.048,0.0435877,0.00299934,8.84297,3.58072,7.72583,2.99977,11.3299,4.40344,15.414,7.17649,116.719,41.7262,196.6,21.764,201.389,17.4804,207.791,17.8905,213.444,18.315,214.347,19.2478,210.544,17.6133,207.332,22.192,199.461,21.0475,187.972,20.7512,179.798,21.7334,171.548,21.8373,157.199,19.2353,148.078,17.5868,143.714,21.4824,130.744,18.115,128.502,17.1625,128.356,17.012,126.739,17.3012
3,parenchyma 3,48,0.048,0.0412829,0.0042421,9.96011,4.54943,8.31656,3.76286,10.7587,3.91546,13.1774,6.5877,104.287,32.5652,178.224,20.2661,203.662,21.6851,207.523,20.4435,213.155,17.8943,206.442,21.6899,204.796,16.6024,203.348,19.7129,195.786,18.9448,187.558,17.8957,178.215,16.8229,176.057,17.2306,158.92,15.4069,147.758,14.5648,141.608,15.5186,136.5,14.0825,130.467,13.3996,124.265,14.8717,120.005,12.8181
4,parenchyma 4,48,0.048,0.0436074,0.00376681,7.6513,3.84292,10.3178,4.65347,11.3518,4.97117,13.3633,5.1591,41.3396,21.3423,111.595,33.888,169.681,28.1608,179.584,19.5594,182.118,23.433,184.16,22.571,182.753,21.8567,178.689,23.2032,164.2,16.7028,161.017,21.0339,161.69,19.3959,151.75,16.2062,142.526,18.4423,134.974,18.0522,130.242,15.8792,122.462,17.4996,118.916,16.8617,118.713,16.8256,116.808,16.5298
5,parenchyma 5,48,0.048,0.0432972,0.00424197,10.0456,3.66308,8.74255,4.6814,10.2747,3.59955,14.4216,6.93538,15.2006,6.67537,37.9458,16.7379,85.3489,25.649,129.492,25.2639,139.16,24.6187,144.971,19.7681,147.811,19.6286,153.538,20.0386,151.575,20.4136,155.557,20.9575,148.604,17.3313,149.861,20.0309,137.385,17.639,135.73,15.724,130.288,22.7617,124.377,20.2352,121.426,17.2924,131.015,15.7932,127.884,18.2235
6,parenchyma 6,48,0.048,0.0438405,0.00439595,10.5414,5.06901,10.5304,4.77361,8.62252,3.69897,16.6143,10.0428,17.5957,10.0802,13.5186,8.04057,20.7549,11.5158,45.4042,19.5284,69.9286,18.6506,82.1819,26.7144,86.6873,27.6296,101.722,21.4621,102.472,20.8865,111.713,21.4326,113.5,22.762,114.376,18.8837,113.79,23.7313,111.344,22.8239,101.031,17.5232,106.54,22.9847,108.675,25.4478,104.549,20.5474,112.398,16.9483
7,parenchyma 7,48,0.048,0.0427799,0.00392033,8.85395,3.92367,9.88479,4.89176,10.5108,4.56688,15.1214,6.56349,15.2249,8.50108,12.2226,5.0479,14.1439,8.5397,17.8177,7.42893,29.4253,15.6863,36.6153,14.1058,48.2307,18.3397,51.9234,13.5821,64.9109,15.3272,69.5795,15.6323,76.5946,15.4797,91.0295,17.6995,83.5202,13.8408,84.2624,16.0238,87.6342,14.9902,90.2262,18.4833,89.7461,15.3198,91.5591,16.9346,100.633,19.3101
8,ipsilateral ventricle,20,0.02,0.163173,0.0318476,10.2218,5.30454,10.7791,5.14263,13.432,5.65157,18.7548,11.5047,14.2812,6.40958,55.8538,18.9492,150.023,43.8105,216.929,39.2779,239.713,49.0508,243.354,42.8848,250.81,40.2574,241.07,42.4894,239.385,41.7563,218.906,39.4182,215.654,42.6191,212.681,33.3841,194.493,35.3914,187.559,35.1828,174.208,33.4462,166.805,30.9607,162.7,33.0841,160.017,31.4931,156.43,34.2321
9,SAS,20,0.02,0.0886034,0.0378394,8.95657,4.96109,11.3722,4.57883,12.099,4.14735,22.0685,13.0404,33.5405,16.7489,30.7012,13.9761,29.596,12.3306,21.353,5.69057,28.2197,9.5067,35.4497,14.3199,35.0976,16.6054,40.3808,15.2606,27.2425,7.42501,32.2207,17.9957,38.9404,13.4769,52.2877,14.9666,47.9949,12.0305,52.3499,17.1401,42.9942,12.8855,49.7459,13.8518,52.5306,21.3677,58.2544,19.5218,48.8554,16.6122
