Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CISS_WTmouse04_affine),Image stdev (CISS_WTmouse04_affine),Image mean (DCE_WTmouse04_affine [0]),Image stdev (DCE_WTmouse04_affine [0]),Image mean (DCE_WTmouse04_affine [1]),Image stdev (DCE_WTmouse04_affine [1]),Image mean (DCE_WTmouse04_affine [2]),Image stdev (DCE_WTmouse04_affine [2]),Image mean (DCE_WTmouse04_affine [3]),Image stdev (DCE_WTmouse04_affine [3]),Image mean (DCE_WTmouse04_affine [4]),Image stdev (DCE_WTmouse04_affine [4]),Image mean (DCE_WTmouse04_affine [5]),Image stdev (DCE_WTmouse04_affine [5]),Image mean (DCE_WTmouse04_affine [6]),Image stdev (DCE_WTmouse04_affine [6]),Image mean (DCE_WTmouse04_affine [7]),Image stdev (DCE_WTmouse04_affine [7]),Image mean (DCE_WTmouse04_affine [8]),Image stdev (DCE_WTmouse04_affine [8]),Image mean (DCE_WTmouse04_affine [9]),Image stdev (DCE_WTmouse04_affine [9]),Image mean (DCE_WTmouse04_affine [10]),Image stdev (DCE_WTmouse04_affine [10]),Image mean (DCE_WTmouse04_affine [11]),Image stdev (DCE_WTmouse04_affine [11]),Image mean (DCE_WTmouse04_affine [12]),Image stdev (DCE_WTmouse04_affine [12]),Image mean (DCE_WTmouse04_affine [13]),Image stdev (DCE_WTmouse04_affine [13]),Image mean (DCE_WTmouse04_affine [14]),Image stdev (DCE_WTmouse04_affine [14]),Image mean (DCE_WTmouse04_affine [15]),Image stdev (DCE_WTmouse04_affine [15]),Image mean (DCE_WTmouse04_affine [16]),Image stdev (DCE_WTmouse04_affine [16]),Image mean (DCE_WTmouse04_affine [17]),Image stdev (DCE_WTmouse04_affine [17]),Image mean (DCE_WTmouse04_affine [18]),Image stdev (DCE_WTmouse04_affine [18]),Image mean (DCE_WTmouse04_affine [19]),Image stdev (DCE_WTmouse04_affine [19]),Image mean (DCE_WTmouse04_affine [20]),Image stdev (DCE_WTmouse04_affine [20]),Image mean (DCE_WTmouse04_affine [21]),Image stdev (DCE_WTmouse04_affine [21]),Image mean (DCE_WTmouse04_affine [22]),Image stdev (DCE_WTmouse04_affine [22])
0,Clear Label,5897890,5897.89,0.072733,0.152486,12.5242,7.16049,12.2046,7.29137,12.108,7.61225,21.4507,15.0797,21.3787,15.6611,22.3169,16.7417,22.1226,17.1955,22.4886,17.6746,23.122,18.2485,23.2802,18.4229,23.2953,18.4555,23.0237,18.2822,22.9609,18.1403,22.7512,18.0082,23.2902,18.1092,23.1865,17.9669,23.5341,18.0556,23.1852,17.766,23.1605,17.6765,22.8947,17.5575,23.4955,17.6652,23.6599,17.623,22.64,17.0556
1,parenchyma 1,48,0.048,0.0372861,0.00530116,14.9488,5.03577,6.10522,3.67505,6.98293,3.01376,15.5828,4.60241,57.1329,23.9191,100.984,22.4175,124.971,26.9496,137.261,21.877,135.061,23.5009,147.216,22.633,140.365,21.2795,136.483,19.9132,122.529,14.4668,114.479,16.245,108.976,15.624,98.7744,9.31018,98.6262,19.0377,91.7125,12.7725,85.9714,15.7093,86.8616,15.9512,82.8565,14.419,68.6027,17.9232,67.3332,15.8987
2,parenchyma 2,48,0.048,0.0408182,0.00525096,6.90955,2.54751,11.8491,4.46567,6.95109,3.16651,73.8343,43.6705,139.335,25.2637,143.329,23.2872,156.929,19.5123,169.722,15.3352,161.665,22.1974,164.455,17.3507,153.699,15.0698,149.965,17.6545,136.162,14.2742,134.52,17.5267,119.54,12.7113,111.496,18.8044,118.227,14.5744,99.7268,11.6576,98.1708,18.2703,103.872,14.2421,87.6825,10.3266,82.8897,12.7222,80.8726,9.68144
3,parenchyma 3,48,0.048,0.04368,0.00354854,8.68713,3.45326,10.1781,5.17759,8.28427,3.31232,135.99,32.8082,150.126,50.2846,164.311,41.4386,181.714,21.743,183.793,16.2795,189.006,17.0036,182.672,14.2695,183.779,16.2633,164.758,18.3516,159.21,11.4402,151.326,12.7998,142.22,15.099,134.939,17.4024,133.897,12.3743,123.13,13.4498,126.219,14.8633,117.951,13.5884,112.38,14.1459,108.72,16.5157,103.249,14.406
4,parenchyma 4,48,0.048,0.0420876,0.00394029,9.52746,3.48133,11.0932,3.7363,7.88556,5.05843,132.177,33.1535,175.276,22.6107,171.321,21.0747,181.713,19.7779,187.35,17.7322,179.805,17.3863,181.646,15.1516,174.044,19.9261,170.471,19.0771,161.507,15.8897,153.868,16.5676,152.318,16.8212,144.327,18.4592,143.272,15.0658,138.919,18.7751,132.181,17.6852,126.926,15.0804,127.804,15.1803,118.683,16.9905,122.863,15.9687
5,parenchyma 5,48,0.048,0.0390929,0.00518884,11.0323,3.93889,8.08214,3.14892,6.49146,2.98095,26.755,14.8519,79.8011,26.9263,124.455,19.4594,141.253,20.6126,146.178,19.4231,157.427,15.7218,161.305,17.0734,151.236,17.8921,144.151,17.3229,141.011,15.6119,145.901,13.2753,145.286,15.0813,138.599,15.065,134.403,14.0575,141.033,14.6222,126.248,17.5166,123.54,12.5599,126.112,15.845,122.298,15.6421,116.079,14.4973
6,parenchyma 6,48,0.048,0.0380872,0.00487977,9.82372,3.97836,8.33964,5.1093,9.82234,4.98615,15.7296,5.05872,23.9529,7.6933,56.2206,17.9095,85.0452,21.5464,105.908,19.4983,122.679,17.0136,119.676,23.3236,129.004,20.6338,122.407,14.886,119.064,15.6805,125.031,15.554,125.986,19.9193,135.27,10.663,132.03,14.3053,127.335,13.7957,127.523,15.1283,120.865,14.6317,118.069,12.5297,118.661,13.895,109.995,13.883
7,parenchyma 7,48,0.048,0.0355209,0.0041558,8.31888,3.60776,12.0831,5.16838,7.48962,3.71617,17.3064,8.8722,27.8251,11.2629,42.6659,12.2286,51.3987,9.00673,74.9792,18.6527,83.7259,15.002,98.0877,12.8516,111.904,15.8915,114.273,18.9213,119.758,14.3909,118.325,11.8823,130.481,16.0846,129.968,19.6253,124.005,14.403,138.565,16.3556,124.178,13.079,128.788,14.4416,127.681,16.709,126.915,17.0152,126.781,20.0487
8,ipsilateral ventricle,7,0.007,0.118018,0.0390075,10.9265,3.43343,9.76835,3.52004,13.2238,4.9307,23.7041,6.83133,68.6822,19.8048,143.877,40.5264,213.518,49.1425,226.01,42.2628,227.9,45.223,217.059,40.2434,218.758,43.706,217.248,43.1699,204.157,37.3668,192.804,38.2437,190.431,34.0997,181.146,33.8953,164.628,27.632,164.828,30.8942,167.951,35.6884,142.699,23.8336,136.681,26.0432,141.76,27.3199,120.343,22.914
9,SAS,7,0.007,0.0372195,0.0212811,10.262,2.95537,6.73057,2.46728,17.5147,9.1073,48.2532,14.0951,61.8187,15.9996,48.8227,18.406,38.5133,13.2514,61.8567,26.0142,33.6244,12.583,36.5482,12.9296,73.2958,14.2559,69.3372,20.0804,59.2936,15.445,74.34,14.3276,76.1627,14.0336,76.7133,10.9485,48.7658,7.22798,65.4546,16.9942,66.176,18.9529,63.6414,20.6545,94.4273,25.9961,64.8375,12.9557,64.4768,18.0373
