Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CISS_WTmouse02_affine),Image stdev (CISS_WTmouse02_affine),Image mean (DCE_WTmouse02_affine [0]),Image stdev (DCE_WTmouse02_affine [0]),Image mean (DCE_WTmouse02_affine [1]),Image stdev (DCE_WTmouse02_affine [1]),Image mean (DCE_WTmouse02_affine [2]),Image stdev (DCE_WTmouse02_affine [2]),Image mean (DCE_WTmouse02_affine [3]),Image stdev (DCE_WTmouse02_affine [3]),Image mean (DCE_WTmouse02_affine [4]),Image stdev (DCE_WTmouse02_affine [4]),Image mean (DCE_WTmouse02_affine [5]),Image stdev (DCE_WTmouse02_affine [5]),Image mean (DCE_WTmouse02_affine [6]),Image stdev (DCE_WTmouse02_affine [6]),Image mean (DCE_WTmouse02_affine [7]),Image stdev (DCE_WTmouse02_affine [7]),Image mean (DCE_WTmouse02_affine [8]),Image stdev (DCE_WTmouse02_affine [8]),Image mean (DCE_WTmouse02_affine [9]),Image stdev (DCE_WTmouse02_affine [9]),Image mean (DCE_WTmouse02_affine [10]),Image stdev (DCE_WTmouse02_affine [10]),Image mean (DCE_WTmouse02_affine [11]),Image stdev (DCE_WTmouse02_affine [11]),Image mean (DCE_WTmouse02_affine [12]),Image stdev (DCE_WTmouse02_affine [12]),Image mean (DCE_WTmouse02_affine [13]),Image stdev (DCE_WTmouse02_affine [13]),Image mean (DCE_WTmouse02_affine [14]),Image stdev (DCE_WTmouse02_affine [14]),Image mean (DCE_WTmouse02_affine [15]),Image stdev (DCE_WTmouse02_affine [15]),Image mean (DCE_WTmouse02_affine [16]),Image stdev (DCE_WTmouse02_affine [16]),Image mean (DCE_WTmouse02_affine [17]),Image stdev (DCE_WTmouse02_affine [17]),Image mean (DCE_WTmouse02_affine [18]),Image stdev (DCE_WTmouse02_affine [18]),Image mean (DCE_WTmouse02_affine [19]),Image stdev (DCE_WTmouse02_affine [19]),Image mean (DCE_WTmouse02_affine [20]),Image stdev (DCE_WTmouse02_affine [20]),Image mean (DCE_WTmouse02_affine [21]),Image stdev (DCE_WTmouse02_affine [21]),Image mean (DCE_WTmouse02_affine [22]),Image stdev (DCE_WTmouse02_affine [22])
0,Clear Label,5897877,5897.88,0.0546687,0.116641,13.9763,7.28528,13.7845,7.43211,13.48,7.56961,23.8856,15.5561,23.6722,16.1067,23.6924,17.0703,23.7519,17.9491,23.8835,18.5714,24.0186,18.8885,23.571,18.8044,22.68,18.5805,22.9865,18.5418,24.7591,18.9607,24.1812,18.7482,23.9238,18.476,23.7924,18.3373,23.8647,18.1331,22.862,17.8888,23.3353,17.8971,23.1772,17.7824,22.8762,17.5295,22.6863,17.3379,23.0151,17.2751
1,parenchyma 1,48,0.048,0.0440857,0.00420578,9.41268,3.34619,9.59443,2.78292,9.2368,4.12933,17.707,5.0987,34.8879,14.1453,78.5978,20.4803,121.963,15.5623,125.906,14.4472,130.922,14.339,129.387,18.448,118.451,14.522,116.769,12.6569,104.256,12.8814,99.9002,13.4501,93.9876,8.66788,87.9914,6.84343,73.2128,11.7503,77.3725,7.21284,68.4479,8.49094,70.2683,10.7454,64.7558,11.5769,59.2565,8.98984,60.495,7.31191
2,parenchyma 2,48,0.048,0.0496543,0.00378064,11.8062,3.08487,7.67877,3.00323,8.0789,3.35105,35.8465,26.2652,134.461,23.3459,156.961,15.4125,165.541,12.0656,171.971,14.9009,165.505,14.7976,160.891,13.2597,149.97,11.1093,148.758,12.4205,139.839,12.4284,128.535,10.72,124.795,13.0743,111.435,10.0646,104.533,12.7211,106.571,12.9158,99.5587,13.251,87.88,9.60527,88.3505,7.02253,79.0096,8.85112,70.9659,10.8294
3,parenchyma 3,48,0.048,0.0569763,0.00617983,10.273,3.36341,7.3827,2.51001,7.46331,2.09893,78.2856,29.5547,153.956,28.2029,173.277,26.2318,180.166,16.0416,184.817,13.0514,185.237,14.2319,176.024,12.5368,168.616,13.6081,159.544,13.5796,152.746,15.7796,150.902,12.0482,134.841,10.8936,136.893,13.2574,120.127,14.5276,121.811,14.0617,118.403,13.994,105.027,13.6213,103.035,14.2916,98.54,13.4985,86.1285,12.6766
4,parenchyma 4,48,0.048,0.0528801,0.00429176,7.93673,3.04888,8.98763,3.27736,9.20015,2.29225,56.0261,26.0677,150.044,18.3407,161.741,15.5591,165.716,11.6619,170.656,14.7839,169.142,9.86103,167.41,13.2751,158.255,14.6799,155.38,9.89806,148.517,8.62511,141.659,10.8069,142.24,10.6896,135.876,11.1985,122.45,11.0465,121.264,14.9976,115.69,8.83619,111.368,11.0535,104.038,10.695,103.818,13.5451,96.0044,11.6107
5,parenchyma 5,48,0.048,0.0454577,0.00377708,10.4401,2.87055,7.81214,2.00549,9.90369,2.19945,12.6123,3.43468,57.0389,24.473,105.816,19.8265,140.746,10.5196,142.994,13.3689,153.69,12.1776,149.282,7.91423,147.33,9.57477,146.868,8.52354,141.271,8.62959,142.24,7.26606,135.518,9.25065,128.313,8.17182,126.799,10.8537,124.163,7.41915,120.547,9.67867,119.581,10.5014,110.878,9.22001,118.349,9.35163,111.387,8.57611
6,parenchyma 6,48,0.048,0.041445,0.00325316,13.7394,3.5598,8.22693,3.22711,8.45412,2.89908,10.3786,5.40972,15.9379,3.54718,45.2841,13.5485,90.5769,13.22,108.922,12.5024,116.912,11.7698,125.567,8.79755,125.696,7.8036,125.673,8.65989,128.579,10.5454,134.7,9.45373,123.298,9.84175,131.446,10.4144,126.117,9.32204,122.391,12.1177,126.967,13.7484,114.195,8.15449,118.023,12.4472,114.343,9.20247,114.965,10.0422
7,parenchyma 7,48,0.048,0.0413833,0.00344007,9.8348,2.9866,8.71648,2.27579,10.5281,4.36158,13.9226,6.00703,11.7094,3.99894,16.5462,6.12981,36.2979,16.9178,60.4496,14.3687,83.8757,16.5835,91.8623,15.9258,106.741,12.6553,101.663,11.7597,108.844,12.7528,112.181,18.3615,116.593,13.5832,112.561,14.0781,110.249,14.2726,109.424,9.7944,111.111,11.5696,107.888,13.7603,110.207,10.718,100.321,12.8217,102.537,12.5956
8,ipsilateral ventricle,20,0.02,0.1454,0.0382959,15.4918,5.8461,17.0325,6.80314,11.1615,4.89625,22.71,5.02452,66.5542,18.872,199.469,53.65,259.269,65.4545,253.367,63.3917,266.326,63.2444,256.3,57.4787,244.928,59.4364,221.553,44.8291,235.581,57.3519,223.984,50.9713,198.365,41.58,208.274,46.2415,188.406,39.6858,187.713,43.9381,171.665,36.2187,172.221,44.7723,168.915,41.6693,159.85,35.8954,157.63,36.3417
9,SAS,7,0.007,0.119395,0.0253833,7.95997,1.61834,13.94,6.51422,13.2164,4.00302,23.7794,10.0115,14.8445,4.17324,23.8096,5.28085,24.6638,6.84766,30.2419,9.64083,51.2674,19.3456,60.8857,16.1802,71.9111,32.5237,85.3184,21.7413,103.691,28.4636,89.5095,22.0889,105.831,33.4335,89.2079,30.6475,96.0624,30.2213,107.299,25.3693,79.459,13.0576,95.8814,23.423,98.575,32.7914,62.0114,11.8666,75.1875,12.5819
